title,overview,release_year,genres,director,cast,source,vote_average,runtime
The Third Party,"When aspiring fashion designer Andi reconnects with her ex-boyfriend Max, she's surprised to learn that he's in a relationship with a man.",2016,"['Comedies', 'Dramas', 'International Movies']",Jason Paul Laxamana,"Sam Milby, Angel Locsin, Zanjoe Marudo, Cherry Pie Picache, Alma Moreno, Matet De Leon, Al Tantay, Beauty Gonzalez, Katrina Michelle Legaspi",netflix,,
The Unmarried Wife,"Tired of her husband's cheating, Anne begins a passionate new relationship – while still wondering if she should give her marriage another chance.",2016,"['Dramas', 'International Movies', 'Romantic Movies']",Maryo J. De los Reyes,"Angelica Panganiban, Dingdong Dantes, Paulo Avelino, Maricar Reyes, Denise Laurel, Dimples Romana, Justin Cuyugan, Mart Escudero, Pamu Pamorada, Lei Andre Navarro, Irma Adlawan",netflix,,
Vince and Kath and James,"Love can be complicated, especially when Vince agrees to secretly woo Kath via text on behalf of James – while falling for her, too.",2016,"['International Movies', 'Romantic Movies']",Theodore Boborol,"Julia Barretto, Joshua Garcia, Ronnie Alonte, Maris Racal, Ina Raymundo, Shamaine Centenera, Ana Abad-Santos, Jeric Raval, Allan Paule, Manuel Chua",netflix,,
Alexis Viera: A Story of Surviving,"After being shot during a robbery in Colombia and losing sensation in his legs, Uruguayan soccer star Alexis Viera finds a new sense of purpose.",2019,"['Documentaries', 'International Movies', 'Sports Movies']",Luis Ara,Alexis Viera,netflix,,
Imago,"A teen with vitiligo struggles with self-doubt and anxiety until a new schoolteacher sees her through a different lens, and urges her to do the same.",2018,"['Dramas', 'Independent Movies', 'International Movies']","Karan Shivajirao Chavan, Vikram Tanajirao Patil","Aishwarya Ghaydar, Amol Deshmukh, Adarsh Kurne, Vishwas Kamble, Neha Awati, Amaraja Patil, Rinkle Chopde, Shreyas Gurav",netflix,,
Amy Schumer Growing,"Amy Schumer spills on her new marriage, personal growth, making a baby and her mom's misguided advice in a special that's both raunchy and sincere.",2019,['Stand-Up Comedy'],Amy Schumer,Amy Schumer,netflix,,
5 Flights Up,"A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.",2014,"['Comedies', 'Dramas', 'Independent Movies']",Richard Loncraine,"Josh Pais, Claire van der Boom, Morgan Freeman, Diane Keaton, Carrie Preston, Cynthia Nixon, Korey Jackson, Diane Ciesla, Michael Cristofer",netflix,,
Bombairiya,"A PR agent trying to find her stolen phone, a politician in trouble, and a fading celebrity find their lives intertwining in unexpected, messy ways.",2018,"['Comedies', 'Dramas', 'International Movies']",Pia Sukanya,"Radhika Apte, Siddhant Kapoor, Akshay Oberoi, Adil Hussain, Amit Sial, Ravi Kishan, Ajinkya Deo, Shilpa Shukla",netflix,,
Burn Out,"When his son's mom runs afoul of Paris's criminal underworld, a thrill-seeking superbike racer begins moonlighting as a drug courier to clear her debt.",2017,"['Action & Adventure', 'International Movies']",Yann Gozlan,"Olivier Rabourdin, François Civil, Manon Azem, Samuel Jouy, Narcisse Mame, Naël Rabia, Sam Louwyck, Luc Schwarz, Mario Magalhaes, Marc-Antoine Duquenne",netflix,,
Edoardo Ferrario: Temi Caldi,"Italian comedian Edoardo Ferrario riffs on life at 30 and unpacks the peculiarities of global travel, social media and people who like craft beer.",2019,['Stand-Up Comedy'],Francesco Imperato,Edoardo Ferrario,netflix,,
Girl,Fifteen-year-old ballet dancer Lara faces physical and emotional hurdles as she prepares for gender confirmation surgery. Inspired by a true story.,2018,"['Dramas', 'International Movies', 'LGBTQ Movies']",Lukas Dhont,"Victor Polster, Arieh Worthalter, Oliver Bodart, Tijmen Govaerts, Katelijne Damen, Valentijn Dhaenens, Magali Elali, Alice de Broqueville, Chris Thys, Angelo Tijssens",netflix,,
Jeff Dunham: Arguing with Myself,"Playing straight man to partners half his size, ventriloquist Jeff Dunham – one of America's funniest comics – slays audiences across the country.",2006,['Stand-Up Comedy'],Manny Rodriguez,Jeff Dunham,netflix,,
Jeff Dunham: Controlled Chaos,"Politically incorrect and often raunchy humor pepper ventriloquist Dunham's live concert performance featuring characters Walter, Achmed and Peanut.",2011,['Stand-Up Comedy'],"Michael Simon, Matthew McNeil",Jeff Dunham,netflix,,
Jeff Dunham: Minding the Monsters,"Jeff Dunham returns with a haunted house full of his hysterical entourage, and each character stars in its own horror movie trailer.",2012,['Stand-Up Comedy'],Manny Rodriguez,Jeff Dunham,netflix,,
Jeff Dunham's Very Special Christmas Special,"Politically incorrect, sometimes raunchy ventriloquist Jeff Dunham is joined by his irreverent cast of characters in this hilarious Christmas special.",2008,['Stand-Up Comedy'],Michael Simon,"Jeff Dunham, Brian Haner",netflix,,
Late Life: The Chien-Ming Wang Story,Injuries sidelined the bright career of New York Yankees pitcher Chien-Ming Wang. This documentary captures his relentless battle back to the majors.,2018,"['Documentaries', 'Sports Movies']",Frank W Chen,Chien-Ming Wang,netflix,,
Paskal,Naval unit PASKAL is among the most elite special forces in Malaysia. But all bets are off when one of its own stages a hijacking. Based on true events.,2018,"['Action & Adventure', 'Dramas', 'International Movies']",Adrian Teh,"Hairul Azreen, Ammar Alfian, Jasmine Suraya, Henley Hii, Hafizul Kamal, Theebaan Govindasamy, Gambit Saifullah, Taufiq Hanafi, Nam Ron, Amerul Affendi, Tiger Chen",netflix,,
A Love Story,"Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn.",2007,"['Dramas', 'International Movies', 'Romantic Movies']",Maryo J. De los Reyes,"Maricel Soriano, Aga Muhlach, Angelica Panganiban, Dante Rivero, Chin Chin Gutierrez, Bobby Andrews, TJ Trinidad, Baron Geisler, John Arcilla, Gerald Madrid",netflix,,
Barcelona: A Love Untold,"While pursuing a degree in Spain, an architecture student struggling with grief meets a fellow expatriate trying to flee a difficult family life.",2016,"['Dramas', 'International Movies', 'Romantic Movies']",Olivia M. Lamasan,"Kathryn Bernardo, Daniel Padilla, Joshua Garcia, Aiko Melendez, Joey Marquez, Ricky Davao, Maria Isabel Lopez, Ana Capri, Cris Villanueva",netflix,,
Everything About Her,A hard-driving real estate tycoon who becomes ill with cancer hires a medical caretaker who helps her begin to mend fences with her estranged son.,2016,"['Comedies', 'Dramas', 'International Movies']",Joyce Bernal,"Angel Locsin, Xian Lim, Vilma Santos, Michael De Mesa, Nonie Buencamino, Khalil Ramos, Devon Seron, Alexa Ilacad, Nor Domingo, Robert Villar",netflix,,
Finally Found Someone,"After a woman is very publicly left at the altar, the PR expert hired to fix the situation winds up falling in love with her.",2017,"['International Movies', 'Romantic Movies']",Theodore Boborol,"John Lloyd Cruz, Sarah Geronimo, Enchong Dee, Christian Bables, Joey Marquez, Yayo Aguila, Tetchie Agbayani, Dennis Padilla, Leo Rialp, Alwyn Uytingco",netflix,,
Seven Sundays,"A dying father asks his busy and grown children to spend their Sundays with him, forcing his family to confront their issues before it's too late.",2017,"['Comedies', 'Dramas', 'International Movies']",Cathy Garcia-Molina,"Ronaldo Valdez, Aga Muhlach, Dingdong Dantes, Enrique Gil, Cristine Reyes, Donita Rose, Ketchup Eusebio, Kean Cipriano",netflix,,
Triple Frontier,"Loyalties are tested when five former special forces operatives reunite to steal a drug lord's fortune, unleashing a chain of unintended consequences.",2019,['Action & Adventure'],J.C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Pedro Pascal, Garrett Hedlund, Adria Arjona",netflix,,
Jimmy Carr: The Best of Ultimate Gold Greatest Hits,Nothing is off limits as Jimmy Carr serves up the most outrageous jokes from his stand-up career in a special that's not for the faint of heart.,2019,['Stand-Up Comedy'],Brian Klein,Jimmy Carr,netflix,,
Hajwala 2: Mysterious Mission,"In this sequel, a group of expert drivers skilled in drifting and high-speed racing is recruited to perform obscure tasks for a shadowy gang.",2018,"['Action & Adventure', 'Comedies', 'International Movies']","Ibrahim Bin Mohamed, Hasan Aljaberi","Hussain Al Hosani, Ali Almarzouqi, Abdullah Al Yousef, Omar Al Hafidh, Meral Niazi, Yaser Hassan, Fatema Almansoori, Ahmed El Mohammdi",netflix,,
Juanita,"Burdened by troubles in life and love, a mother of three grown children searches for hope and healing on an impromptu trip to Paper Moon, Montana.",2019,"['Dramas', 'Independent Movies', 'Romantic Movies']",Clark Johnson,"Alfre Woodard, Adam Beach, LaTanya Richardson Jackson, Marcus Henderson, Blair Underwood, Ashlie Atkinson, Tsulan Cooper",netflix,,
Lady J,"When her romance with a lustful marquis takes an unwelcome turn, a wealthy widow concocts a scheme to get revenge – with help from a younger woman.",2019,"['Dramas', 'Independent Movies', 'International Movies']",Emmanuel Mouret,"Cécile De France, Edouard Baer, Alice Isaaz, Natalia Dontcheva",netflix,,
Walk. Ride. Rodeo.,"In the wake of an accident that leaves her paralyzed, a champion rodeo rider vows to get back on her horse and compete again. Based on a true story.",2019,"['Children & Family Movies', 'Dramas']",Conor Allyn,"Spencer Locke, Missi Pyle, Sherri Shepherd, Bailey Chase, Alyvia Alyn Lind, Max Ehrich, Corbin Bleu, Kathleen Rose Perkins",netflix,,
Nappily Ever After,"When a perfectionist ad exec experiences a romantic setback, she embarks on a journey of self-discovery that begins with a dramatic hair makeover.",2018,"['Comedies', 'Dramas', 'Romantic Movies']",Haifaa Al-Mansour,"Sanaa Lathan, Ricky Whittle, Lynn Whitfield, Lyriq Bent, Ernie Hudson",netflix,,
Sisterakas,"Two half siblings separated by family conflict cross paths as adults at a fashion agency – but one of them has a vendetta, unbeknownst to the other.",2012,"['Comedies', 'International Movies']",Wenn V. Deramas,"Ai-Ai de las Alas, Vice Ganda, Kris Aquino, Xyriel Manabat, Daniel Padilla, Kathryn Bernardo, Tirso Cruz III, Deejay Durano, Gloria Diaz, Jeffrey Quizon",netflix,,
Starting Over Again,"An architecture student and a history professor fall in love, pursue a dream, split up and bump into each other years later. Can there be a second chance?",2014,"['Dramas', 'International Movies', 'Romantic Movies']",Olivia M. Lamasan,"Piolo Pascual, Toni Gonzaga, Iza Calzado",netflix,,
That Thing Called Tadhana,"A devastating breakup with her boyfriend may be the start of a new beginning for Mace, thanks to an adventurous and kind stranger named Anthony.",2015,"['Dramas', 'International Movies', 'Romantic Movies']",Antoinette Jadaone,"Angelica Panganiban, JM de Guzman",netflix,,
The Love Affair,"Feeling betrayed by their romantic partners' infidelity, Adrianne and Vince struggle to forgive while finding comfort with each other.",2015,"['Dramas', 'International Movies', 'Romantic Movies']",Nuel Naval,"Richard Gomez, Dawn Zulueta, Bea Alonzo, Tom Rodriguez, Tetchie Agbayani, Al Tantay, Ana Capri, Ina Feleo",netflix,,
The Hard Way,"After learning his brother died on a mission in Romania, a former soldier teams up with two allies to hunt down a mysterious enemy and exact revenge.",2019,['Action & Adventure'],Keoni Waxman,"Michael Jai White, Luke Goss, Randy Couture, Madalina Anea, Grant Campbell, George Remes, Ovidiu Niculescu, Adreea Diac, Michaela Holla, Bogden Farcas",netflix,,
Everyday I Love You,"While patiently waiting for her boyfriend to come out of his coma, Audrey finds herself falling for the caring and successful Ethan.",2015,"['Dramas', 'International Movies', 'Romantic Movies']",Mae Czarina Cruz,"Enrique Gil, Liza Soberano, Gerald Anderson, Aiko Melendez, Carmina Villaroel, Ariel Rivera, Marissa Delgado, Liza Lorena",netflix,,
No Other Woman,"A happily married man gives in to temptation when a wealthy client pursues him, setting off a torrid love triangle.",2011,"['Dramas', 'International Movies', 'Romantic Movies']",Ruel S. Bayani,"Anne Curtis, Derek Ramsay, Cristine Reyes, Tirso Cruz III, Carmi Martin, John Arcilla, Marlann Flores, Ron Morales, Kat Alano",netflix,,
River's Edge,"High schooler Haruna befriends loner Yamada, then is drawn into the tangled relationship between him, a model and the girl who loves him unreasonably.",2018,"['Dramas', 'International Movies']",Isao Yukisada,"Fumi Nikaido, Ryo Yoshizawa, Shuhei Uesugi, Sumire, Shiori Doi, Aoi Morikawa",netflix,,
Sarkar,A ruthless businessman’s mission to expose electoral fraud brings him into a heated and dangerous political conflict with two corrupt ministers.,2018,"['Action & Adventure', 'Dramas', 'International Movies']",A.R. Murugadoss,"Vijay, Varalakshmi Sarathkumar, Keerthi Suresh, Radha Ravi, Pala Karuppaiah, Yogi Babu",netflix,,
Weapon of Choice,"Speaking to retailers and owners of the Glock pistol, two filmmakers shed light on the politics of violence and its implications from Chicago to Kirkuk.",2018,"['Documentaries', 'International Movies']",Fritz Ofner,,netflix,,
"2,215","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",2018,"['Documentaries', 'International Movies', 'Sports Movies']",Nottapon Boonprakob,Artiwara Kongmalai,netflix,,
BNK48: Girls Don't Cry,"Members of the Thai idol girl group BNK48 open up about their experiences beyond the spotlight, their training and the nature of fame.",2018,"['Documentaries', 'International Movies', 'Music & Musicals']",Nawapol Thamrongrattanarit,,netflix,,
Budapest,"Two best friends put their careers and marriages on the line when they launch a business hosting outrageous, anything-goes bachelor parties in Hungary.",2018,"['Comedies', 'International Movies']",Xavier Gens,"Manu Payet, Jonathan Cohen, Monsieur Poulpe, Alice Belaïdi, Alix Poisson",netflix,,
Pants on Fire,Jealous girlfriends and aliens are just some of the things Jack lied about to become popular. Now the lies are coming to life and ruining everything.,2014,"['Children & Family Movies', 'Comedies']",Jonathan A. Rosenbaum,"Bradley Steven Perry, Joshua J. Ballard, Tyrel Jackson Williams, Brittney Wilson, Taylor Russell, Nicholas Coombe, Rachelle Gillis, Kevin O'Grady",netflix,,
Paranormal Investigation,"When a young man becomes possessed after playing a Ouija game, a ghost hunter investigates the evil spirit dwelling within him.",2018,"['Horror Movies', 'International Movies', 'Thrillers']",Franck Phelizon,"Andrei Indreies, Jean-Baptiste Heuet, Jose Atuncar, Pierre Porquet, Claudine Bertin, Gabriella Jordan, Effie Rey, Catalin Morar, Antoine Rodriguez",netflix,,
Radio Rebel,"Shy student Tara has a secret identity: She is smooth-talking Radio Rebel, a DJ who lends her voice to all kids, popular and unpopular alike.",2012,"['Children & Family Movies', 'Comedies']",Peter Howitt,"Debby Ryan, Sarena Parmar, Adam DiMarco, Merritt Patterson, Nancy Robertson",netflix,,
Sarvam Thaala Mayam (Tamil Version),"An aspiring musician battles age-old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist.",2018,"['Dramas', 'International Movies', 'Music & Musicals']",Rajiv Menon,"G.V. Prakash Kumar, Nedumudi Venu, Aparna Balamurali, Divyadarshini, Vineeth, Kumaravel, Ravi Prakash, Sumesh",netflix,,
The Boy Who Harnessed the Wind,"Inspired by a science book, 13-year-old William Kamkwamba builds a wind turbine to save his Malawian village from famine. Based on a true story.",2019,"['Children & Family Movies', 'Dramas', 'Independent Movies']",Chiwetel Ejiofor,"Maxwell Simba, Chiwetel Ejiofor, Aïssa Maïga, Lily Banda, Lemogang Tsipa, Philbert Falakeza, Joseph Marcell, Noma Dumezweni",netflix,,
The Last Runway,An ex-colonel forms a special paramilitary group focused on combatting drug trafficking on the Paraguayan border.,2018,"['Action & Adventure', 'International Movies']","Rodrigo Salomón, Pietro Scappini","Luis Aguirre, Andrea Quattrocchi, Silvio Rodas, Felix Medina, Gonzalo Vivanco, Bruno Sosa, Andrea Frigerio, Mauricio A. Jortack, Rafael Rojas Doria, Roberto Weiss, Fabio Chamorro, Sergio Quiñonez Román, David Gerber",netflix,,
Your Son,"After his son is brutally beaten outside a nightclub, a surgeon takes the law into his own hands and seeks vengeance against the perpetrators.",2018,"['Dramas', 'International Movies', 'Thrillers']",Miguel Ángel Vivas,"José Coronado, Ana Wagener, Asia Ortega, Pol Monen, Ester Expósito",netflix,,
Quién te cantará,"When a near-drowning leaves a famous singer from the '90s with amnesia, she hires a karaoke singer who can imitate her to prep her for a comeback tour.",2018,"['Dramas', 'Independent Movies', 'International Movies']",Carlos Vermut,"Najwa Nimri, Eva Llorach, Carme Elias, Natalia de Molina, Julián Villagrán, Ignacio Mateos, Lorena Iglesias, Vicenta N'Dongo, Inma Cuevas, Per-Olav Sorensen",netflix,,
A Second Chance,"Following their storybook wedding, Popoy and Basha find married life – and starting a business together – more challenging than they ever imagined.",2015,"['Dramas', 'International Movies', 'Romantic Movies']",Cathy Garcia-Molina,"John Lloyd Cruz, Bea Alonzo, Dimples Romana, Janus del Prado, James Blanco, Ahron Villena, Beatriz Saw, Shamaine Centenera, Khalil Ramos, Billy Crawford, Al Tantay, Arci Muñoz",netflix,,
Beauty and the Bestie,"Finding himself in a desperate situation, undercover agent Emman asks his former best friend, Erika, to join him on a dangerous mission.",2015,"['Action & Adventure', 'Comedies', 'International Movies']",Wenn V. Deramas,"Vice Ganda, Coco Martin, James Reid, Nadine Lustre, Karla Estrada, Ryan Bang, Badjie Mortiz, Alonzo Muhlach, Marco Masa, Lassy Marquez, MC Calaquian",netflix,,
Bride For Rent,"Rocco needs to hire a bride so he can access his trust fund. Rocky desperately needs a job. Their marriage starts out fake, but ends up as much more.",2014,"['Comedies', 'International Movies', 'Romantic Movies']",Mae Czarina Cruz,"Kim Chiu, Xian Lim, Empoy Marquez, Martin del Rosario, Pilita Corrales, Tirso Cruz III, Dennis Padilla, Matt Evans, Lloyd Zaragoza, Zeppi Borromeo",netflix,,
Can't Help Falling in Love,"Gab is eager to tie the knot with her handsome boyfriend, but there's a problem, and it's a doozy: She's already married to a total stranger.",2017,"['Comedies', 'Dramas', 'International Movies']",Mae Czarina Cruz,"Kathryn Bernardo, Daniel Padilla, Matteo Guidicelli, Zanjoe Marudo, Cherry Pie Picache, Lotlot De Leon, Dennis Padilla, Lito Pimentel, Joross Gamboa, Janus del Prado",netflix,,
Evening Shadows,"When her son comes out to her as gay, a religious mother struggles to reconcile his truth with her own beliefs and their orthodox family values.",2018,"['Dramas', 'Independent Movies', 'International Movies']",Sridhar Rangayan,"Mona Ambegaonkar, Anant Mahadevan, Devansh Doshi, Arpit Chaudhary, Yamini Singh, Abhay Kulkarni, Veena Nair, Disha Thakur",netflix,,
Four Sisters and a Wedding,"Four sisters unite to stop their young brother's pending nuptials upon meeting his fiancée’s demanding family, revealing long-simmering family issues.",2013,"['Comedies', 'Dramas', 'International Movies']",Cathy Garcia-Molina,"Bea Alonzo, Toni Gonzaga, Angel Locsin, Shaina Magdayao, Enchong Dee, Sam Milby, Angeline Quinto, Coney Reyes",netflix,,
It Takes a Man and a Woman,"Laida and Miggy used to be in love, but now they're forced to work together in a professional capacity – and neither is completely over their past.",2013,"['Comedies', 'International Movies', 'Romantic Movies']",Cathy Garcia-Molina,"John Lloyd Cruz, Sarah Geronimo, Rowell Santiago, Al Tantay, Irma Adlawan, Joross Gamboa, Gio Alvarez, Matet De Leon, Miles Ocampo, Andre Garcia, Dante Rivero, Isabelle Daza",netflix,,
My Ex & Whys,"Popular blogger Cali is hired for a marketing campaign alongside another viral sensation: her ex-boyfriend Gio, who's intent on winning her back.",2017,"['Comedies', 'Dramas', 'International Movies']",Cathy Garcia-Molina,"Liza Soberano, Enrique Gil, Joey Marquez, Cai Cortez, Arlene Muchlach, Ara Mina, Ryan Bang, Joross Gamboa, Jeffrey Tam, Neils Coleta",netflix,,
She's Dating the Gangster,"To make another woman jealous, a campus heartthrob asks a fellow student to be his pretend girlfriend, but fate has other plans for the fake couple.",2014,"['Dramas', 'International Movies', 'Romantic Movies']",Cathy Garcia-Molina,"Kathryn Bernardo, Daniel Padilla, Richard Gomez, Dawn Zulueta, Sofia Andres, Khalil Ramos, Ian Veneracion, Pamu Pamorada, Igi Boy Flores, Marco Gumabao",netflix,,
The Breakup Playlist,A rock musician and a law student whose true passion is music fall in love and pursue a romance that complicates both of their blossoming careers.,2015,"['Dramas', 'International Movies', 'Music & Musicals']",Dan Villegas,"Piolo Pascual, Sarah Geronimo, Rio Locsin, Dennis Padilla, Badjie Mortiz, Teddy Corpuz, Anna Luna, Jett Pangan, Cris Villonco, Maris Racal",netflix,,
The Mistress,The mistress of a wealthy businessman is torn between her loyalty to him and her love for a young architect connected to her in unexpected ways.,2012,"['Dramas', 'International Movies', 'Romantic Movies']",Olivia M. Lamasan,"John Lloyd Cruz, Bea Alonzo, Hilda Koronel, Ronaldo Valdez, Anita Linda, Carmi Martin",netflix,,
Zach Galifianakis: Live at the Purple Onion,"The unorthodox, piano-playing stand-up star Zach Galifianakis makes a splash on the scene and serves up a healthy dose of his signature wit.",2006,['Stand-Up Comedy'],Michael Blieden,"Zach Galifianakis, Brian Unger",netflix,,
Life of An Outcast,"When authorities jail his son for rejecting religious bias, a poor father’s struggle to bail him out highlights rural India’s enduring casteism.",2018,"['Dramas', 'Independent Movies', 'International Movies']",Pawan K Shrivastava,"Ravi Bhushan Bhartiya, Shalini Mohan, Bhaskar Jha, Manohar Pandey, Siddharth Bharadwaj, Jay Shanker Pandey, Deepak Jha, Komal Singh",netflix,,
The Photographer Of Mauthausen,A Catalán prisoner at a Nazi concentration camp uses his office job to steal photo negatives of the atrocities committed there. Based on true events.,2018,"['Dramas', 'International Movies']",Mar Targarona,"Mario Casas, Richard van Weyden, Alain Hernández, Adrià Salazar, Eduard Buch, Stefan Weinert, Rubén Yuste, Nikola Stojanovic, Frank Feys, Marc Rodríguez, Albert Mora, Luka Peros, Rainer Reiners, Toni Gomila, Emilio Gavira, Macarena Gómez",netflix,,
Bert Kreischer: The Machine,"From his run-in with a grizzly bear to partying with the Russian mafia, the shirtless comic returns with laugh-out-loud tales in this stand-up special.",2016,['Stand-Up Comedy'],Ryan Polito,Bert Kreischer,netflix,,
Firebrand,"While she successfully advocates for her female clients in difficult divorce cases, a lawyer’s trauma from sexual assault impacts her own marriage.",2019,"['Dramas', 'International Movies']",Aruna Raje,"Usha Jadhav, Girish Kulkarni, Sachin Khedekar, Rajeshwari Sachdev, Rushad Rana, Mrunal Oak",netflix,,
Paddleton,"After he's diagnosed with terminal cancer, middle-aged Michael asks his neighbor friend Andy to help him end his life before the disease does.",2019,"['Comedies', 'Dramas', 'Independent Movies']",Alex Lehmann,"Mark Duplass, Ray Romano",netflix,,
Paris Is Us,"Amid a turbulent romance and rising tensions in Paris, a young woman finds herself caught in a dizzying spiral of dreams, memories and what-ifs.",2019,"['Dramas', 'Independent Movies', 'International Movies']",Elisabeth Vogler,"Noémie Schmidt, Grégoire Isvarine, Marie Mottet, Lou Castel, Mathias Minne, Margaux Bonin, Julia Kouakou, Alexandre Schreiber, Schemci Lauth, Theo Tagand, Clément Olivieri, Doria Achour",netflix,,
Shonar Pahar,An older woman's unique friendship with a young boy inspires her to examine the strained relationship she shares with her married son.,2018,"['Dramas', 'Independent Movies', 'International Movies']",Parambrata Chatterjee,"Tanuja, Jishu Sengupta, Parambrata Chatterjee, Arunima Ghosh, Shrijato Banerjee, Soumitra Chatterjee, Gargi Roychowdhury",netflix,,
The Drug King,A petty smuggler from Busan dives headfirst into illicit drug trafficking in the 1970s and rises to become king of narcotics exports to Japan.,2018,"['Dramas', 'International Movies', 'Thrillers']",Woo Min-ho,"Song Kang-ho, Cho Jung-seok, Bae Doona, Kim So-jin, Kim Dae-myung, Jo Woo-jin, Lee Hee-jun, Song Young-chang, Yoon Je-moon",netflix,,
Kevin James: Sweat the Small Stuff,The film and television star riffs on life's many royal pains in this hourlong special taped at New York City's Hudson Theatre in 2001.,2001,['Stand-Up Comedy'],Paul Miller,Kevin James,netflix,,
Transformer,Powerlifter Matt Kroczaleski faced his greatest challenge when he came out as transgender. This documentary captures his transition into a woman.,2017,"['Documentaries', 'LGBTQ Movies']",Michael Del Monte,Janae Marie Kroczaleski,netflix,,
Genius,Extreme pressure from his father to excel at school during childhood has dangerous psychological effects on a brilliant but suicidal man’s adult life.,2018,"['Dramas', 'Independent Movies', 'International Movies']",Suseenthiran,"Roshan, Priyaa Lal, Aadukalam Naren, Singam Puli, Meera Krishnan, Jayaprakash",netflix,,
Black Sea,"A hard-driving submarine captain is hired to steal gold from a sunken Nazi sub, but there's no honor among thieves during this underwater heist.",2015,"['Action & Adventure', 'Dramas', 'International Movies']",Kevin MacDonald,"Jude Law, Scoot McNairy, Ben Mendelsohn, Bobby Schofield, Tobias Menzies, Michael Smiley, Grigoriy Dobrygin, David Threlfall, Jodie Whittaker, Karl Davies",netflix,,
Studio 54,This documentary follows the rapid rise and fall of the Manhattan discotheque and the glittery debauchery that attracted the city's eccentric and elite.,2018,['Documentaries'],Matt Tyrnauer,,netflix,,
Awe,"Disparate characters, including an aspiring time traveler, a phony chef, a drug-addicted waitress and several others, share a surprising connection.",2018,"['Dramas', 'International Movies', 'Sci-Fi & Fantasy']",Prasanth Varma,"Kajal Aggarwal, Nithya Menon, Regina Cassandra, Eesha Rebba, Murli Sharma, Srinivas Avasarala, Priyadarshi Pullikonda",netflix,,
Ayana,"With his carefree bachelor days behind him, a young entrepreneur’s ambitions for adulthood come with some painful personal and professional decisions.",2017,"['Dramas', 'Independent Movies', 'International Movies']",Gangadhar Salimath,"Deepak Subramanya, Apoorva Soma, Ramesh Bhat, Harsha H S, Karthik A, Goutham Shashidhar, Nagshree Karkone, Moksha Kushal, Vedashree Rao",netflix,,
Behind the Curve,"Meet the growing, worldwide community of theorists who defend the belief that the Earth is flat while living in a society who vehemently rejects it.",2018,['Documentaries'],Daniel J. Clark,,netflix,,
Buddies,"Inspired by the movie ""Thelma & Louise,"" three young people with Down syndrome leave the institution where they live to take a road trip together.",2012,"['Comedies', 'Dramas', 'Independent Movies']",Marcelo Galvão,"Ariel Goldenberg, Rita Pokk, Breno Viola, Lima Duarte, Marco Luque, Daniel Torres, Monaliza Marchi, Amélia Bittencourt, Giulia de Souza Merigo, Deto Montenegro, Rui Unas",netflix,,
Candyflip,"On the incandescent shores of Goa, a young man tumbles down a mind-bending – and soon dangerous – series of trips after taking hallucinatory drugs.",2017,"['Dramas', 'Independent Movies', 'International Movies']",Shanawaz Nellikunnil,"Prashant Prakash, Kalki Koechlin, Prakash Raj, Gulshan Devaiah, Valeriya Polyanychko",netflix,,
Chameli,"While taking shelter from a Mumbai monsoon, an investment banker forms an unlikely connection with a naïve prostitute over the course of the night.",2004,"['Dramas', 'International Movies']",Sudhir Mishra,"Kareena Kapoor, Rahul Bose, Rinke Khanna, Yashpal Sharma, Makrand Deshpande, Kabir Sadanand, Pankaj Jha",netflix,,
Fatso,"Killed too soon due to a clerical error in heaven, a man is sent back to earth with a new lease on life, this time in the body of his portly friend.",2012,"['Comedies', 'Dramas', 'International Movies']",Rajat Kapoor,"Ranvir Shorey, Gul Panag, Purab Kohli, Neil Bhoopalam, Gunjan Bakshi, Saurabh Shukla, Atul Kumar, Brijendra Kala, Bharati Achrekar, Rahul Vohra",netflix,,
Neevevaro,"When a blind chef’s girlfriend goes missing, his unnerving search for her leads him to find there's more to her disappearance than what meets the eye.",2018,"['Dramas', 'International Movies', 'Romantic Movies']",Hari Nath,"Aadhi, Tapsee Pannu, Ritika Singh, Vennela Kishore, Sapthagiri",netflix,,
Pyaar Ke Side Effects,"A commitment-phobe agrees to marry his girlfriend, setting in motion a series of hilarious mishaps that has him questioning what he got himself into.",2006,"['Comedies', 'International Movies', 'Romantic Movies']",Saket Chaudhary,"Rahul Bose, Mallika Sherawat, Ranvir Shorey, Sharat Saxena, Aamir Bashir, Taraana Raja, Jas Arora, Suchitra Pillai, Sapna Bhavnani, Sophiya Chaudhary",netflix,,
Sur: The Melody of Life,"A renowned music teacher mentors a promising young singer, but when her fame begins to overshadow his own, he lets jealousy and competition take over.",2002,"['Dramas', 'International Movies']",Tanuja Chandra,"Lucky Ali, Simone Singh, Achint Kaur, Ehsan Khan, Harsh Vasisht, Yashodhan Bal, Gauri Karnik, Divya Dutta",netflix,,
